n,TP,FP,FN,TN,precision,recall,F1,FPR,TPR
1,67,0,587,39010,1.0,0.10244648318042814,0.18585298196948682,0.0,0.10244648318042814
3,195,0,459,39010,1.0,0.2981651376146789,0.4593639575971732,0.0,0.2981651376146789
5,301,0,353,39010,1.0,0.4602446483180428,0.6303664921465969,0.0,0.4602446483180428
10,482,0,172,39010,1.0,0.7370030581039755,0.8485915492957746,0.0,0.7370030581039755
